No._Base	ToneName_freemidi	MSB	LSB	PC_0Origin	Category	Bank	PC	No.	ToneName	remove_left1	head_suff
41	Violin :	0	3	40	Strings/Orchestra	SC-88Pro	41	041	Violin :	iolin :	
041+	Violin Atk:	1	3	40	Strings/Orchestra	SC-88Pro	41	041+	Violin Atk:	iolin Atk:	
041+	Slow Violin	8	3	40	Strings/Orchestra	SC-88Pro	41	041+	Slow Violin	low Violin	
42	Viola :	0	3	41	Strings/Orchestra	SC-88Pro	42	042	Viola :	iola :	
042+	Viola Atk.:	1	3	41	Strings/Orchestra	SC-88Pro	42	042+	Viola Atk.:	iola Atk.:	
43	Cello :	0	3	42	Strings/Orchestra	SC-88Pro	43	043	Cello :	ello :	
043+	Cello Atk.:	1	3	42	Strings/Orchestra	SC-88Pro	43	043+	Cello Atk.:	ello Atk.:	
44	Contrabass	0	3	43	Strings/Orchestra	SC-88Pro	44	044	Contrabass	ontrabass	
45	Tremolo Str	0	3	44	Strings/Orchestra	SC-88Pro	45	045	Tremolo Str	remolo Str	
45	Slow Tremolo	8	3	44	Strings/Orchestra	SC-88Pro	45	045	Slow Tremolo	low Tremolo	
45	Suspense Str	9	3	44	Strings/Orchestra	SC-88Pro	45	045	Suspense Str	uspense Str	
46	PizzicatoStr	0	3	45	Strings/Orchestra	SC-88Pro	46	046	PizzicatoStr	izzicatoStr	
046+	Vcs&Cbs Pizz	1	3	45	Strings/Orchestra	SC-88Pro	46	046+	Vcs&Cbs Pizz	cs&Cbs Pizz	
046+	Chamber Pizz	2	3	45	Strings/Orchestra	SC-88Pro	46	046+	Chamber Pizz	hamber Pizz	
046+	St.Pizzicato	3	3	45	Strings/Orchestra	SC-88Pro	46	046+	St.Pizzicato	t.Pizzicato	
046+	Solo Pizz.	8	3	45	Strings/Orchestra	SC-88Pro	46	046+	Solo Pizz.	olo Pizz.	
046+	Solo Spic.	16	3	45	Strings/Orchestra	SC-88Pro	46	046+	Solo Spic.	olo Spic.	
47	Harp	0	3	46	Strings/Orchestra	SC-88Pro	47	047	Harp	arp	
047+	Synth Harp	16	3	46	Strings/Orchestra	SC-88Pro	47	047+	Synth Harp	ynth Harp	
48	Timpani	0	3	47	Strings/Orchestra	SC-88Pro	48	048	Timpani	impani	
41	$Violin	0	2	40	Strings/Orchestra	SC-88	41	041	'Violin	Violin	'
041+	$Slow Violin	8	2	40	Strings/Orchestra	SC-88	41	041+	'Slow Violin	Slow Violin	'
42	$Viola	0	2	41	Strings/Orchestra	SC-88	42	042	'Viola	Viola	'
43	$Cello	0	2	42	Strings/Orchestra	SC-88	43	043	'Cello	Cello	'
44	$Contrabass	0	2	43	Strings/Orchestra	SC-88	44	044	'Contrabass	Contrabass	'
45	$Tremolo Str	0	2	44	Strings/Orchestra	SC-88	45	045	'Tremolo Str	Tremolo Str	'
045+	$SlowTremolo	8	2	44	Strings/Orchestra	SC-88	45	045+	'SlowTremolo	SlowTremolo	'
045+	$SuspenseStr	9	2	44	Strings/Orchestra	SC-88	45	045+	'SuspenseStr	SuspenseStr	'
46	$Pizz. Str.	0	2	45	Strings/Orchestra	SC-88	46	046	'Pizz. Str.	Pizz. Str.	'
47	$Harp	0	2	46	Strings/Orchestra	SC-88	47	047	'Harp	Harp	'
48	$Timpani	0	2	47	Strings/Orchestra	SC-88	48	048	'Timpani	Timpani	'
41	*Violin	0	1	40	Strings/Orchestra	SC-55	41	041	"Violin	Violin	"
041+	*Slow Violin	8	1	40	Strings/Orchestra	SC-55	41	041+	"Slow Violin	Slow Violin	"
42	*Viola	0	1	41	Strings/Orchestra	SC-55	42	042	"Viola	Viola	"
43	*Cello	0	1	42	Strings/Orchestra	SC-55	43	043	"Cello	Cello	"
44	*Contrabass	0	1	43	Strings/Orchestra	SC-55	44	044	"Contrabass	Contrabass	"
45	*Tremolo Str	0	1	44	Strings/Orchestra	SC-55	45	045	"Tremolo Str	Tremolo Str	"
46	*Pizzicato	0	1	45	Strings/Orchestra	SC-55	46	046	"Pizzicato	Pizzicato	"
47	*Harp	0	1	46	Strings/Orchestra	SC-55	47	047	"Harp	Harp	"
48	*Timpani	0	1	47	Strings/Orchestra	SC-55	48	048	"Timpani	Timpani	"
49	#Str Sect 1	127	1	48	Strings/Orchestra	CM-64	49	049	#"Str Sect 1	Str Sect 1	#"
50	#Str Sect 2	127	1	49	Strings/Orchestra	CM-64	50	050	#"Str Sect 2	Str Sect 2	#"
51	#Str Sect 3	127	1	50	Strings/Orchestra	CM-64	51	051	#"Str Sect 3	Str Sect 3	#"
52	#Pizzicato	127	1	51	Strings/Orchestra	CM-64	52	052	#"Pizzicato	Pizzicato	#"
53	#Violin 1	127	1	52	Strings/Orchestra	CM-64	53	053	#"Violin 1	Violin 1	#"
54	#Violin 2	127	1	53	Strings/Orchestra	CM-64	54	054	#"Violin 2	Violin 2	#"
55	#Cello 1	127	1	54	Strings/Orchestra	CM-64	55	055	#"Cello 1	Cello 1	#"
56	#Cello 2	127	1	55	Strings/Orchestra	CM-64	56	056	#"Cello 2	Cello 2	#"
57	#Contrabass	127	1	56	Strings/Orchestra	CM-64	57	057	#"Contrabass	Contrabass	#"
58	#Harp 1	127	1	57	Strings/Orchestra	CM-64	58	058	#"Harp 1	Harp 1	#"
59	#Harp 2	127	1	58	Strings/Orchestra	CM-64	59	059	#"Harp 2	Harp 2	#"
113	#Timpani	127	1	112	Strings/Orchestra	CM-64	113	113	#"Timpani	Timpani	#"
49	Strings :	0	3	48	Ensemble	SC-88Pro	49	049	Strings :	trings :	
049+	Bright Str:	1	3	48	Ensemble	SC-88Pro	49	049+	Bright Str:	right Str:	
049+	ChamberStr:	2	3	48	Ensemble	SC-88Pro	49	049+	ChamberStr:	hamberStr:	
049+	Cello sect.	3	3	48	Ensemble	SC-88Pro	49	049+	Cello sect.	ello sect.	
049+	Orchestra	8	3	48	Ensemble	SC-88Pro	49	049+	Orchestra	rchestra	
049+	Orchestra 2	9	3	48	Ensemble	SC-88Pro	49	049+	Orchestra 2	rchestra 2	
049+	Tremolo Orch	10	3	48	Ensemble	SC-88Pro	49	049+	Tremolo Orch	remolo Orch	
049+	Choir Str.	11	3	48	Ensemble	SC-88Pro	49	049+	Choir Str.	hoir Str.	
049+	Strings+Horn	12	3	48	Ensemble	SC-88Pro	49	049+	Strings+Horn	trings+Horn	
049+	St. Strings	16	3	48	Ensemble	SC-88Pro	49	049+	St. Strings	t. Strings	
049+	Velo Strings	24	3	48	Ensemble	SC-88Pro	49	049+	Velo Strings	elo Strings	
049+	Oct Strings1	32	3	48	Ensemble	SC-88Pro	49	049+	Oct Strings1	ct Strings1	
049+	Oct Strings2	33	3	48	Ensemble	SC-88Pro	49	049+	Oct Strings2	ct Strings2	
50	Slow Strings	0	3	49	Ensemble	SC-88Pro	50	050	Slow Strings	low Strings	
050+	SlowStrings2	1	3	49	Ensemble	SC-88Pro	50	050+	SlowStrings2	lowStrings2	
050+	Legato Str.	8	3	49	Ensemble	SC-88Pro	50	050+	Legato Str.	egato Str.	
050+	Warm Strings	9	3	49	Ensemble	SC-88Pro	50	050+	Warm Strings	arm Strings	
050+	St.Slow Str.	10	3	49	Ensemble	SC-88Pro	50	050+	St.Slow Str.	t.Slow Str.	
51	Syn.Strings1	0	3	50	Ensemble	SC-88Pro	51	051	Syn.Strings1	yn.Strings1	
051+	OB Strings	1	3	50	Ensemble	SC-88Pro	51	051+	OB Strings	B Strings	
051+	StackStrings	2	3	50	Ensemble	SC-88Pro	51	051+	StackStrings	tackStrings	
051+	JP Strings	3	3	50	Ensemble	SC-88Pro	51	051+	JP Strings	P Strings	
051+	Syn.Strings3	8	3	50	Ensemble	SC-88Pro	51	051+	Syn.Strings3	yn.Strings3	
051+	Syn.Strings4	9	3	50	Ensemble	SC-88Pro	51	051+	Syn.Strings4	yn.Strings4	
051+	High Strings	16	3	50	Ensemble	SC-88Pro	51	051+	High Strings	igh Strings	
051+	Hybrid Str.	17	3	50	Ensemble	SC-88Pro	51	051+	Hybrid Str.	ybrid Str.	
051+	Tron Strings	24	3	50	Ensemble	SC-88Pro	51	051+	Tron Strings	ron Strings	
051+	Noiz Strings	25	3	50	Ensemble	SC-88Pro	51	051+	Noiz Strings	oiz Strings	
52	Syn.Strings2	0	3	51	Ensemble	SC-88Pro	52	052	Syn.Strings2	yn.Strings2	
052+	Syn.Strings5	1	3	51	Ensemble	SC-88Pro	52	052+	Syn.Strings5	yn.Strings5	
052+	JUNO Strings	2	3	51	Ensemble	SC-88Pro	52	052+	JUNO Strings	UNO Strings	
052+	Air Strings	8	3	51	Ensemble	SC-88Pro	52	052+	Air Strings	ir Strings	
53	Choir Aahs	0	3	52	Ensemble	SC-88Pro	53	053	Choir Aahs	hoir Aahs	
053+	St.ChoirAahs	8	3	52	Ensemble	SC-88Pro	53	053+	St.ChoirAahs	t.ChoirAahs	
053+	Melted Choir	9	3	52	Ensemble	SC-88Pro	53	053+	Melted Choir	elted Choir	
053+	Church Choir	10	3	52	Ensemble	SC-88Pro	53	053+	Church Choir	hurch Choir	
053+	Choir Hahs	16	3	52	Ensemble	SC-88Pro	53	053+	Choir Hahs	hoir Hahs	
053+	Choir Lahs	24	3	52	Ensemble	SC-88Pro	53	053+	Choir Lahs	hoir Lahs	
053+	Chorus Aahs	32	3	52	Ensemble	SC-88Pro	53	053+	Chorus Aahs	horus Aahs	
053+	Male Aah+Str	33	3	52	Ensemble	SC-88Pro	53	053+	Male Aah+Str	ale Aah+Str	
54	Voice Oohs	0	3	53	Ensemble	SC-88Pro	54	054	Voice Oohs	oice Oohs	
054+	Voice Dahs	8	3	53	Ensemble	SC-88Pro	54	054+	Voice Dahs	oice Dahs	
55	SynVox	0	3	54	Ensemble	SC-88Pro	55	055	SynVox	ynVox	
055+	Syn.Voice	8	3	54	Ensemble	SC-88Pro	55	055+	Syn.Voice	yn.Voice	
055+	Silent Night	9	3	54	Ensemble	SC-88Pro	55	055+	Silent Night	ilent Night	
055+	VP330 Choir	16	3	54	Ensemble	SC-88Pro	55	055+	VP330 Choir	P330 Choir	
055+	Vinyl Choir	17	3	54	Ensemble	SC-88Pro	55	055+	Vinyl Choir	inyl Choir	
56	OrchestraHit	0	3	55	Ensemble	SC-88Pro	56	056	OrchestraHit	rchestraHit	
056+	Impact Hit	8	3	55	Ensemble	SC-88Pro	56	056+	Impact Hit	mpact Hit	
056+	Philly Hit	9	3	55	Ensemble	SC-88Pro	56	056+	Philly Hit	hilly Hit	
056+	Double Hit	10	3	55	Ensemble	SC-88Pro	56	056+	Double Hit	ouble Hit	
056+	Perc. Hit	11	3	55	Ensemble	SC-88Pro	56	056+	Perc. Hit	erc. Hit	
056+	Shock Wave	12	3	55	Ensemble	SC-88Pro	56	056+	Shock Wave	hock Wave	
056+	Lo Fi Rave	16	3	55	Ensemble	SC-88Pro	56	056+	Lo Fi Rave	o Fi Rave	
056+	Techno Hit	17	3	55	Ensemble	SC-88Pro	56	056+	Techno Hit	echno Hit	
056+	Dist. Hit	18	3	55	Ensemble	SC-88Pro	56	056+	Dist. Hit	ist. Hit	
056+	Bam Hit	19	3	55	Ensemble	SC-88Pro	56	056+	Bam Hit	am Hit	
056+	Bit Hit	20	3	55	Ensemble	SC-88Pro	56	056+	Bit Hit	it Hit	
056+	Bim Hit	21	3	55	Ensemble	SC-88Pro	56	056+	Bim Hit	im Hit	
056+	Technorg Hit	22	3	55	Ensemble	SC-88Pro	56	056+	Technorg Hit	echnorg Hit	
056+	Rave Hit	23	3	55	Ensemble	SC-88Pro	56	056+	Rave Hit	ave Hit	
056+	Strings Hit	24	3	55	Ensemble	SC-88Pro	56	056+	Strings Hit	trings Hit	
056+	Stack Hit	25	3	55	Ensemble	SC-88Pro	56	056+	Stack Hit	tack Hit	
49	$Strings	0	2	48	Ensemble	SC-88	49	049	'Strings	Strings	'
049+	$Strings 2	1	2	48	Ensemble	SC-88	49	049+	'Strings 2	Strings 2	'
049+	$Orchestra	8	2	48	Ensemble	SC-88	49	049+	'Orchestra	Orchestra	'
049+	$Orchestra 2	9	2	48	Ensemble	SC-88	49	049+	'Orchestra 2	Orchestra 2	'
049+	$TremoloOrch	10	2	48	Ensemble	SC-88	49	049+	'TremoloOrch	TremoloOrch	'
049+	$Choir Str.	11	2	48	Ensemble	SC-88	49	049+	'Choir Str.	Choir Str.	'
049+	$St.Strings	16	2	48	Ensemble	SC-88	49	049+	'St.Strings	St.Strings	'
049+	$VeloStrings	24	2	48	Ensemble	SC-88	49	049+	'VeloStrings	VeloStrings	'
50	$SlowStrings	0	2	49	Ensemble	SC-88	50	050	'SlowStrings	SlowStrings	'
050+	$Slow Str. 2	1	2	49	Ensemble	SC-88	50	050+	'Slow Str. 2	Slow Str. 2	'
050+	$Legato Str.	8	2	49	Ensemble	SC-88	50	050+	'Legato Str.	Legato Str.	'
050+	$WarmStrings	9	2	49	Ensemble	SC-88	50	050+	'WarmStrings	WarmStrings	'
050+	$St.SlowStr.	10	2	49	Ensemble	SC-88	50	050+	'St.SlowStr.	St.SlowStr.	'
51	$SynStrings1	0	2	50	Ensemble	SC-88	51	051	'SynStrings1	SynStrings1	'
051+	$OB Strings	1	2	50	Ensemble	SC-88	51	051+	'OB Strings	OB Strings	'
051+	$SynStrings3	8	2	50	Ensemble	SC-88	51	051+	'SynStrings3	SynStrings3	'
52	$SynStrings2	0	2	51	Ensemble	SC-88	52	052	'SynStrings2	SynStrings2	'
53	$Choir Aahs	0	2	52	Ensemble	SC-88	53	053	'Choir Aahs	Choir Aahs	'
053+	$St.Choir	8	2	52	Ensemble	SC-88	53	053+	'St.Choir	St.Choir	'
053+	$Mello Choir	9	2	52	Ensemble	SC-88	53	053+	'Mello Choir	Mello Choir	'
053+	$ChoirAahs 2	32	2	52	Ensemble	SC-88	53	053+	'ChoirAahs 2	ChoirAahs 2	'
54	$Voice Oohs	0	2	53	Ensemble	SC-88	54	054	'Voice Oohs	Voice Oohs	'
55	$SynVox	0	2	54	Ensemble	SC-88	55	055	'SynVox	SynVox	'
055+	$Syn.Voice	8	2	54	Ensemble	SC-88	55	055+	'Syn.Voice	Syn.Voice	'
56	$Orch. Hit	0	2	55	Ensemble	SC-88	56	056	'Orch. Hit	Orch. Hit	'
056+	$Impact Hit	8	2	55	Ensemble	SC-88	56	056+	'Impact Hit	Impact Hit	'
056+	$Philly Hit	9	2	55	Ensemble	SC-88	56	056+	'Philly Hit	Philly Hit	'
056+	$Double Hit	10	2	55	Ensemble	SC-88	56	056+	'Double Hit	Double Hit	'
056+	$Lo Fi Rave	16	2	55	Ensemble	SC-88	56	056+	'Lo Fi Rave	Lo Fi Rave	'
49	*Strings	0	1	48	Ensemble	SC-55	49	049	"Strings	Strings	"
049+	*Orchestra	8	1	48	Ensemble	SC-55	49	049+	"Orchestra	Orchestra	"
50	*SlowStrings	0	1	49	Ensemble	SC-55	50	050	"SlowStrings	SlowStrings	"
51	*SynStrings1	0	1	50	Ensemble	SC-55	51	051	"SynStrings1	SynStrings1	"
051+	*SynStrings3	8	1	50	Ensemble	SC-55	51	051+	"SynStrings3	SynStrings3	"
52	*SynStrings2	0	1	51	Ensemble	SC-55	52	052	"SynStrings2	SynStrings2	"
53	*Choir Aahs	0	1	52	Ensemble	SC-55	53	053	"Choir Aahs	Choir Aahs	"
053+	*Choir Aahs2	32	1	52	Ensemble	SC-55	53	053+	"Choir Aahs2	Choir Aahs2	"
54	*Voice Oohs	0	1	53	Ensemble	SC-55	54	054	"Voice Oohs	Voice Oohs	"
55	*SynVox	0	1	54	Ensemble	SC-55	55	055	"SynVox	SynVox	"
56	*Orchest.Hit	0	1	55	Ensemble	SC-55	56	056	"Orchest.Hit	Orchest.Hit	"
30	#Choir Aahs	126	1	29	Ensemble	CM-64	30	030	#"Choir Aahs	Choir Aahs	#"
31	#Choir Aahs	126	1	30	Ensemble	CM-64	31	031	#"Choir Aahs	Choir Aahs	#"
32	#Choir Aahs	126	1	31	Ensemble	CM-64	32	032	#"Choir Aahs	Choir Aahs	#"
33	#Choir Aahs	126	1	32	Ensemble	CM-64	33	033	#"Choir Aahs	Choir Aahs	#"
34	#SlowStrings	126	1	33	Ensemble	CM-64	34	034	#"SlowStrings	SlowStrings	#"
35	#Strings	126	1	34	Ensemble	CM-64	35	035	#"Strings	Strings	#"
36	#SynStrings3	126	1	35	Ensemble	CM-64	36	036	#"SynStrings3	SynStrings3	#"
37	#SynStrings3	126	1	36	Ensemble	CM-64	37	037	#"SynStrings3	SynStrings3	#"
64	#Orchest.Hit	126	1	63	Ensemble	CM-64	64	064	#"Orchest.Hit	Orchest.Hit	#"
123	#Orche Hit	127	1	122	Ensemble	CM-64	123	123	#"Orche Hit	Orche Hit	#"
57	Trumpet	0	3	56	Brass	SC-88Pro	57	057	Trumpet	rumpet	
057+	Trumpet 2	1	3	56	Brass	SC-88Pro	57	057+	Trumpet 2	rumpet 2	
057+	Trumpet   :	2	3	56	Brass	SC-88Pro	57	057+	Trumpet   :	rumpet   :	
057+	Flugel Horn	8	3	56	Brass	SC-88Pro	57	057+	Flugel Horn	lugel Horn	
057+	4th Trumpets	16	3	56	Brass	SC-88Pro	57	057+	4th Trumpets	th Trumpets	
057+	Bright Tp.	24	3	56	Brass	SC-88Pro	57	057+	Bright Tp.	right Tp.	
057+	Warm Tp.	25	3	56	Brass	SC-88Pro	57	057+	Warm Tp.	arm Tp.	
057+	Syn. Trumpet	32	3	56	Brass	SC-88Pro	57	057+	Syn. Trumpet	yn. Trumpet	
58	Trombone	0	3	57	Brass	SC-88Pro	58	058	Trombone	rombone	
058+	Trombone 2	1	3	57	Brass	SC-88Pro	58	058+	Trombone 2	rombone 2	
058+	Twin bones	2	3	57	Brass	SC-88Pro	58	058+	Twin bones	win bones	
058+	Bs. Trombone	8	3	57	Brass	SC-88Pro	58	058+	Bs. Trombone	s. Trombone	
59	Tuba	0	3	58	Brass	SC-88Pro	59	059	Tuba	uba	
059+	Tuba 2	1	3	58	Brass	SC-88Pro	59	059+	Tuba 2	uba 2	
60	MutedTrumpet	0	3	59	Brass	SC-88Pro	60	060	MutedTrumpet	utedTrumpet	
060+	Muted Horns	8	3	59	Brass	SC-88Pro	60	060+	Muted Horns	uted Horns	
61	French Horns	0	3	60	Brass	SC-88Pro	61	061	French Horns	rench Horns	
061+	Fr.Horn 2	1	3	60	Brass	SC-88Pro	61	061+	Fr.Horn 2	r.Horn 2	
061+	Horn + Orche	2	3	60	Brass	SC-88Pro	61	061+	Horn + Orche	orn + Orche	
061+	Wide FreHrns	3	3	60	Brass	SC-88Pro	61	061+	Wide FreHrns	ide FreHrns	
061+	F.Hrn Slow:	8	3	60	Brass	SC-88Pro	61	061+	F.Hrn Slow:	.Hrn Slow:	
061+	Dual Horns	9	3	60	Brass	SC-88Pro	61	061+	Dual Horns	ual Horns	
061+	Synth Horn	16	3	60	Brass	SC-88Pro	61	061+	Synth Horn	ynth Horn	
061+	F.Horn Rip	24	3	60	Brass	SC-88Pro	61	061+	F.Horn Rip	.Horn Rip	
62	Brass 1	0	3	61	Brass	SC-88Pro	62	062	Brass 1	rass 1	
062+	Brass ff	1	3	61	Brass	SC-88Pro	62	062+	Brass ff	rass ff	
062+	Bones Sect.	2	3	61	Brass	SC-88Pro	62	062+	Bones Sect.	ones Sect.	
062+	Brass 2	8	3	61	Brass	SC-88Pro	62	062+	Brass 2	rass 2	
062+	Brass 3	9	3	61	Brass	SC-88Pro	62	062+	Brass 3	rass 3	
062+	Brass sfz	10	3	61	Brass	SC-88Pro	62	062+	Brass sfz	rass sfz	
062+	Brass Fall	16	3	61	Brass	SC-88Pro	62	062+	Brass Fall	rass Fall	
062+	Trumpet Fall	17	3	61	Brass	SC-88Pro	62	062+	Trumpet Fall	rumpet Fall	
062+	Octave Brass	24	3	61	Brass	SC-88Pro	62	062+	Octave Brass	ctave Brass	
062+	Brass + Reed	25	3	61	Brass	SC-88Pro	62	062+	Brass + Reed	rass + Reed	
63	Synth Brass1	0	3	62	Brass	SC-88Pro	63	063	Synth Brass1	ynth Brass1	
063+	JUNO Brass	1	3	62	Brass	SC-88Pro	63	063+	JUNO Brass	UNO Brass	
063+	Stack Brass	2	3	62	Brass	SC-88Pro	63	063+	Stack Brass	tack Brass	
063+	SH-5 Brass	3	3	62	Brass	SC-88Pro	63	063+	SH-5 Brass	H-5 Brass	
063+	MKS Brass	4	3	62	Brass	SC-88Pro	63	063+	MKS Brass	KS Brass	
063+	Pro Brass	8	3	62	Brass	SC-88Pro	63	063+	Pro Brass	ro Brass	
063+	P5 Brass	9	3	62	Brass	SC-88Pro	63	063+	P5 Brass	5 Brass	
063+	Oct SynBrass	16	3	62	Brass	SC-88Pro	63	063+	Oct SynBrass	ct SynBrass	
063+	Hybrid Brass	17	3	62	Brass	SC-88Pro	63	063+	Hybrid Brass	ybrid Brass	
64	Synth Brass2	0	3	63	Brass	SC-88Pro	64	064	Synth Brass2	ynth Brass2	
064+	Soft Brass	1	3	63	Brass	SC-88Pro	64	064+	Soft Brass	oft Brass	
064+	Warm Brass	2	3	63	Brass	SC-88Pro	64	064+	Warm Brass	arm Brass	
064+	SynBrass sfz	8	3	63	Brass	SC-88Pro	64	064+	SynBrass sfz	ynBrass sfz	
064+	OB Brass	9	3	63	Brass	SC-88Pro	64	064+	OB Brass	B Brass	
064+	Reso Brass	10	3	63	Brass	SC-88Pro	64	064+	Reso Brass	eso Brass	
064+	Velo Brass 1	16	3	63	Brass	SC-88Pro	64	064+	Velo Brass 1	elo Brass 1	
064+	Transbrass	17	3	63	Brass	SC-88Pro	64	064+	Transbrass	ransbrass	
57	$Trumpet	0	2	56	Brass	SC-88	57	057	'Trumpet	Trumpet	'
057+	$Trumpet 2	1	2	56	Brass	SC-88	57	057+	'Trumpet 2	Trumpet 2	'
057+	$Flugel Horn	8	2	56	Brass	SC-88	57	057+	'Flugel Horn	Flugel Horn	'
057+	$Bright Tp.	24	2	56	Brass	SC-88	57	057+	'Bright Tp.	Bright Tp.	'
057+	$Warm Tp.	25	2	56	Brass	SC-88	57	057+	'Warm Tp.	Warm Tp.	'
58	$Trombone	0	2	57	Brass	SC-88	58	058	'Trombone	Trombone	'
058+	$Trombone 2	1	2	57	Brass	SC-88	58	058+	'Trombone 2	Trombone 2	'
59	$Tuba	0	2	58	Brass	SC-88	59	059	'Tuba	Tuba	'
059+	$Tuba 2	1	2	58	Brass	SC-88	59	059+	'Tuba 2	Tuba 2	'
60	$Muted Tp.	0	2	59	Brass	SC-88	60	060	'Muted Tp.	Muted Tp.	'
61	$FrenchHorns	0	2	60	Brass	SC-88	61	061	'FrenchHorns	FrenchHorns	'
061+	$Fr.Horns 2	1	2	60	Brass	SC-88	61	061+	'Fr.Horns 2	Fr.Horns 2	'
061+	$Fr.HornSolo	8	2	60	Brass	SC-88	61	061+	'Fr.HornSolo	Fr.HornSolo	'
061+	$Horn Orch	16	2	60	Brass	SC-88	61	061+	'Horn Orch	Horn Orch	'
62	$Brass 1	0	2	61	Brass	SC-88	62	062	'Brass 1	Brass 1	'
062+	$Brass 2	8	2	61	Brass	SC-88	62	062+	'Brass 2	Brass 2	'
062+	$Brass Fall	16	2	61	Brass	SC-88	62	062+	'Brass Fall	Brass Fall	'
63	$SynthBrass1	0	2	62	Brass	SC-88	63	063	'SynthBrass1	SynthBrass1	'
063+	$Poly Brass	1	2	62	Brass	SC-88	63	063+	'Poly Brass	Poly Brass	'
063+	$Syn.Brass 3	8	2	62	Brass	SC-88	63	063+	'Syn.Brass 3	Syn.Brass 3	'
063+	$Quack Brass	9	2	62	Brass	SC-88	63	063+	'Quack Brass	Quack Brass	'
063+	$OctaveBrass	16	2	62	Brass	SC-88	63	063+	'OctaveBrass	OctaveBrass	'
64	$Syn.Brass 2	0	2	63	Brass	SC-88	64	064	'Syn.Brass 2	Syn.Brass 2	'
064+	$Soft Brass	1	2	63	Brass	SC-88	64	064+	'Soft Brass	Soft Brass	'
064+	$Syn.Brass 4	8	2	63	Brass	SC-88	64	064+	'Syn.Brass 4	Syn.Brass 4	'
064+	$VeloBrass 1	16	2	63	Brass	SC-88	64	064+	'VeloBrass 1	VeloBrass 1	'
064+	$VeloBrass 2	17	2	63	Brass	SC-88	64	064+	'VeloBrass 2	VeloBrass 2	'
57	*Trumpet	0	1	56	Brass	SC-55	57	057	"Trumpet	Trumpet	"
58	*Trombone	0	1	57	Brass	SC-55	58	058	"Trombone	Trombone	"
58	*Trombone 2	1	1	57	Brass	SC-55	58	058	"Trombone 2	Trombone 2	"
59	*Tuba	0	1	58	Brass	SC-55	59	059	"Tuba	Tuba	"
60	*MuteTrumpet	0	1	59	Brass	SC-55	60	060	"MuteTrumpet	MuteTrumpet	"
61	*French Horn	0	1	60	Brass	SC-55	61	061	"French Horn	French Horn	"
061+	*Fr.Horn 2	1	1	60	Brass	SC-55	61	061+	"Fr.Horn 2	Fr.Horn 2	"
62	*Brass 1	0	1	61	Brass	SC-55	62	062	"Brass 1	Brass 1	"
062+	*Brass 2	8	1	61	Brass	SC-55	62	062+	"Brass 2	Brass 2	"
63	*Syn.Brass 1	0	1	62	Brass	SC-55	63	063	"Syn.Brass 1	Syn.Brass 1	"
63	*Syn.Brass 3	8	1	62	Brass	SC-55	63	063	"Syn.Brass 3	Syn.Brass 3	"
063+	*Analog Brs1	16	1	62	Brass	SC-55	63	063+	"Analog Brs1	Analog Brs1	"
64	*Syn.Brass 2	0	1	63	Brass	SC-55	64	064	"Syn.Brass 2	Syn.Brass 2	"
064+	*Syn.Brass 4	8	1	63	Brass	SC-55	64	064+	"Syn.Brass 4	Syn.Brass 4	"
064+	*Analog Brs2	16	1	63	Brass	SC-55	64	064+	"Analog Brs2	Analog Brs2	"
47	#Trumpet	126	1	46	Brass	CM-64	47	047	#"Trumpet	Trumpet	#"
48	#Trumpet	126	1	47	Brass	CM-64	48	048	#"Trumpet	Trumpet	#"
49	#Trombone	126	1	48	Brass	CM-64	49	049	#"Trombone	Trombone	#"
50	#Trombone	126	1	49	Brass	CM-64	50	050	#"Trombone	Trombone	#"
51	#Trombone	126	1	50	Brass	CM-64	51	051	#"Trombone	Trombone	#"
52	#Trombone	126	1	51	Brass	CM-64	52	052	#"Trombone	Trombone	#"
53	#Trombone	126	1	52	Brass	CM-64	53	053	#"Trombone	Trombone	#"
54	#Trombone	126	1	53	Brass	CM-64	54	054	#"Trombone	Trombone	#"
59	#Brass 1	126	1	58	Brass	CM-64	59	059	#"Brass 1	Brass 1	#"
60	#Brass 1	126	1	59	Brass	CM-64	60	060	#"Brass 1	Brass 1	#"
61	#Brass 2	126	1	60	Brass	CM-64	61	061	#"Brass 2	Brass 2	#"
62	#Brass 2	126	1	61	Brass	CM-64	62	062	#"Brass 2	Brass 2	#"
63	#Brass 1	126	1	62	Brass	CM-64	63	063	#"Brass 1	Brass 1	#"
25	#Syn Brass 1	127	1	24	Brass	CM-64	25	025	#"Syn Brass 1	Syn Brass 1	#"
26	#Syn Brass 2	127	1	25	Brass	CM-64	26	026	#"Syn Brass 2	Syn Brass 2	#"
27	#Syn Brass 3	127	1	26	Brass	CM-64	27	027	#"Syn Brass 3	Syn Brass 3	#"
28	#Syn Brass 4	127	1	27	Brass	CM-64	28	028	#"Syn Brass 4	Syn Brass 4	#"
89	#Trumpet 1	127	1	88	Brass	CM-64	89	089	#"Trumpet 1	Trumpet 1	#"
90	#Trumpet 2	127	1	89	Brass	CM-64	90	090	#"Trumpet 2	Trumpet 2	#"
91	#Trombone 1	127	1	90	Brass	CM-64	91	091	#"Trombone 1	Trombone 1	#"
92	#Trombone 2	127	1	91	Brass	CM-64	92	092	#"Trombone 2	Trombone 2	#"
93	#Fr Horn 1	127	1	92	Brass	CM-64	93	093	#"Fr Horn 1	Fr Horn 1	#"
