No._Base	ToneName_freemidi	MSB	LSB	PC_0Origin	Category	Bank	PC	No.	ToneName	remove_left1	head_suff
105	#Marimba	127	1	104	Chromatic Percussion	CM-64	105	105	#"Marimba	Marimba	#"
17	Organ 1	0	3	16	Organ	SC-88Pro	17	017	Organ 1	rgan 1	
017+	Organ 101	1	3	16	Organ	SC-88Pro	17	017+	Organ 101	rgan 101	
017+	Trem. Organ	8	3	16	Organ	SC-88Pro	17	017+	Trem. Organ	rem. Organ	
017+	Organ o	9	3	16	Organ	SC-88Pro	17	017+	Organ o	rgan o	
017+	60's Organ 1	16	3	16	Organ	SC-88Pro	17	017+	60's Organ 1	0's Organ 1	
017+	60's Organ 2	17	3	16	Organ	SC-88Pro	17	017+	60's Organ 2	0's Organ 2	
017+	60's Organ 3	18	3	16	Organ	SC-88Pro	17	017+	60's Organ 3	0's Organ 3	
017+	Farf Organ	19	3	16	Organ	SC-88Pro	17	017+	Farf Organ	arf Organ	
017+	Cheese Organ	24	3	16	Organ	SC-88Pro	17	017+	Cheese Organ	heese Organ	
017+	D-50 Organ	25	3	16	Organ	SC-88Pro	17	017+	D-50 Organ	-50 Organ	
017+	JUNO Organ	26	3	16	Organ	SC-88Pro	17	017+	JUNO Organ	UNO Organ	
017+	Hybrid Organ	27	3	16	Organ	SC-88Pro	17	017+	Hybrid Organ	ybrid Organ	
017+	VS Organ	28	3	16	Organ	SC-88Pro	17	017+	VS Organ	S Organ	
017+	Digi Church	29	3	16	Organ	SC-88Pro	17	017+	Digi Church	igi Church	
017+	70's E.Organ	32	3	16	Organ	SC-88Pro	17	017+	70's E.Organ	0's E.Organ	
017+	Even Bar	33	3	16	Organ	SC-88Pro	17	017+	Even Bar	ven Bar	
017+	Organ Bass	40	3	16	Organ	SC-88Pro	17	017+	Organ Bass	rgan Bass	
017+	5th Organ	48	3	16	Organ	SC-88Pro	17	017+	5th Organ	th Organ	
18	Organ 2	0	3	17	Organ	SC-88Pro	18	018	Organ 2	rgan 2	
018+	Jazz Organ	1	3	17	Organ	SC-88Pro	18	018+	Jazz Organ	azz Organ	
018+	E.Organ 16+2	2	3	17	Organ	SC-88Pro	18	018+	E.Organ 16+2	.Organ 16+2	
018+	Chorus Or.2	8	3	17	Organ	SC-88Pro	18	018+	Chorus Or.2	horus Or.2	
018+	Octave Organ	9	3	17	Organ	SC-88Pro	18	018+	Octave Organ	ctave Organ	
018+	Perc. Organ	32	3	17	Organ	SC-88Pro	18	018+	Perc. Organ	erc. Organ	
19	Organ 3	0	3	18	Organ	SC-88Pro	19	019	Organ 3	rgan 3	
019+	Rotary Org.	8	3	18	Organ	SC-88Pro	19	019+	Rotary Org.	otary Org.	
019+	Rotary Org.S	16	3	18	Organ	SC-88Pro	19	019+	Rotary Org.S	otary Org.S	
019+	Rock Organ 1	17	3	18	Organ	SC-88Pro	19	019+	Rock Organ 1	ock Organ 1	
019+	Rock Organ 2	18	3	18	Organ	SC-88Pro	19	019+	Rock Organ 2	ock Organ 2	
019+	Rotary Org.F	24	3	18	Organ	SC-88Pro	19	019+	Rotary Org.F	otary Org.F	
20	Church Org.1	0	3	19	Organ	SC-88Pro	20	020	Church Org.1	hurch Org.1	
020+	Church Org.2	8	3	19	Organ	SC-88Pro	20	020+	Church Org.2	hurch Org.2	
020+	Church Org.3	16	3	19	Organ	SC-88Pro	20	020+	Church Org.3	hurch Org.3	
020+	Organ Flute	24	3	19	Organ	SC-88Pro	20	020+	Organ Flute	rgan Flute	
020+	Trem.Flute	32	3	19	Organ	SC-88Pro	20	020+	Trem.Flute	rem.Flute	
020+	Theater Org.	33	3	19	Organ	SC-88Pro	20	020+	Theater Org.	heater Org.	
21	Reed Organ	0	3	20	Organ	SC-88Pro	21	021	Reed Organ	eed Organ	
21	Wind Organ	8	3	20	Organ	SC-88Pro	21	021	Wind Organ	ind Organ	
22	Accordion Fr	0	3	21	Organ	SC-88Pro	22	022	Accordion Fr	ccordion Fr	
022+	Accordion It	8	3	21	Organ	SC-88Pro	22	022+	Accordion It	ccordion It	
022+	Dist. Accord	9	3	21	Organ	SC-88Pro	22	022+	Dist. Accord	ist. Accord	
022+	Cho. Accord	16	3	21	Organ	SC-88Pro	22	022+	Cho. Accord	ho. Accord	
022+	Hard Accord	24	3	21	Organ	SC-88Pro	22	022+	Hard Accord	ard Accord	
022+	Soft Accord	25	3	21	Organ	SC-88Pro	22	022+	Soft Accord	oft Accord	
23	Harmonica	0	3	22	Organ	SC-88Pro	23	023	Harmonica	armonica	
023+	Harmonica 2	1	3	22	Organ	SC-88Pro	23	023+	Harmonica 2	armonica 2	
24	Bandoneon	0	3	23	Organ	SC-88Pro	24	024	Bandoneon	andoneon	
024+	Bandoneon 2	8	3	23	Organ	SC-88Pro	24	024+	Bandoneon 2	andoneon 2	
024+	Bandoneon 3	16	3	23	Organ	SC-88Pro	24	024+	Bandoneon 3	andoneon 3	
17	$Organ 1	0	2	16	Organ	SC-88	17	017	'Organ 1	Organ 1	'
017+	$Organ 101	1	2	16	Organ	SC-88	17	017+	'Organ 101	Organ 101	'
017+	$Detuned Or.1	8	2	16	Organ	SC-88	17	017+	'Detuned Or.1	Detuned Or.1	'
017+	$Organ 109	9	2	16	Organ	SC-88	17	017+	'Organ 109	Organ 109	'
017+	$60'sOrgan 1	16	2	16	Organ	SC-88	17	017+	'60'sOrgan 1	60'sOrgan 1	'
017+	$60'sOrgan 2	17	2	16	Organ	SC-88	17	017+	'60'sOrgan 2	60'sOrgan 2	'
017+	$60'sOrgan 3	18	2	16	Organ	SC-88	17	017+	'60'sOrgan 3	60'sOrgan 3	'
017+	$CheeseOrgan	24	2	16	Organ	SC-88	17	017+	'CheeseOrgan	CheeseOrgan	'
017+	$Organ 4	32	2	16	Organ	SC-88	17	017+	'Organ 4	Organ 4	'
017+	$Even Bar	33	2	16	Organ	SC-88	17	017+	'Even Bar	Even Bar	'
017+	$Organ Bass	40	2	16	Organ	SC-88	17	017+	'Organ Bass	Organ Bass	'
